========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
3 | 0.005 | 0.0002 | 0.1521754264831543 | 0.26776325702667236 | N/A
3 | 0.005 | 0.0005 | 0.15344169735908508 | 0.2677580416202545 | N/A
3 | 0.005 | 0.0012 | 0.15164266526699066 | 0.26654285192489624 | N/A
3 | 0.005 | 0.001 | 0.15368688106536865 | 0.26803237199783325 | N/A
3 | 0.005 | 0.002 | 0.15183760225772858 | 0.2643818259239197 | N/A
3 | 0.01 | 0.0001 | 0.151715949177742 | 0.2673996090888977 | N/A
3 | 0.01 | 0.0002 | 0.15355892479419708 | 0.26959893107414246 | N/A
3 | 0.01 | 0.0005 | 0.15479622781276703 | 0.2700998783111572 | N/A
3 | 0.01 | 0.0012 | 0.1522640734910965 | 0.26699188351631165 | N/A
3 | 0.01 | 0.001 | 0.1538962721824646 | 0.26835501194000244 | N/A
3 | 0.01 | 0.002 | 0.1506393700838089 | 0.2648918628692627 | N/A
6 | 0.00001 | 0.0001 | 0.1513633280992508 | 0.26701390743255615 | N/A
6 | 0.00001 | 0.0002 | 0.1528659164905548 | 0.2684125006198883 | N/A
6 | 0.00001 | 0.0005 | 0.15388858318328857 | 0.2708066403865814 | N/A
6 | 0.00001 | 0.0012 | 0.1541053056716919 | 0.26796746253967285 | N/A
6 | 0.00001 | 0.001 | 0.14997974038124084 | 0.2647814452648163 | N/A
6 | 0.00001 | 0.002 | 0.16423889994621277 | 0.27405112981796265 | N/A
6 | 0.00005 | 0.0001 | 0.1514180451631546 | 0.2670062184333801 | N/A
6 | 0.00005 | 0.0002 | 0.15284104645252228 | 0.26836058497428894 | N/A
6 | 0.00005 | 0.0005 | 0.15438759326934814 | 0.2710725963115692 | N/A
6 | 0.00005 | 0.0012 | 0.15005768835544586 | 0.26417121291160583 | N/A
6 | 0.00005 | 0.001 | 0.14940530061721802 | 0.26504626870155334 | N/A
6 | 0.00005 | 0.002 | 0.15709245204925537 | 0.2680622935295105 | N/A
6 | 0.0001 | 0.0001 | 0.15144869685173035 | 0.26696276664733887 | N/A
6 | 0.0001 | 0.0002 | 0.1527329385280609 | 0.2682286500930786 | N/A
6 | 0.0001 | 0.0005 | 0.15399669110774994 | 0.27082762122154236 | N/A
